最好的一次組合是第443次 0.0005	30	64	1024	1024	0.3	0.95	0	0.99	1228795.066
alpha,n_epochs,batch_size,layer1_size,layer2_size,policy_clip,gamma,entropy,gae_lambda,final_reward
0.0001,10,256,256,256,0.1,0.995,0.01,0.95,1020338.2834882895
0.0001,10,256,256,256,0.1,0.995,0.01,0.99,1078077.8008538107
0.0001,10,256,256,256,0.3,0.95,0.0,0.95,1052421.2030726902
0.0001,10,256,256,256,0.3,0.95,0.0,0.99,1052610.7625534006
0.0001,10,256,256,256,0.3,0.95,0.01,0.95,1146570.2506607804
0.0001,10,256,256,256,0.3,0.95,0.01,0.99,1144281.6030858902
0.0001,10,256,256,256,0.3,0.995,0.0,0.95,1048141.8739481603
0.0001,10,256,256,256,0.3,0.995,0.0,0.99,1090915.3567863402
0.0001,10,256,256,256,0.3,0.995,0.01,0.95,1064951.37236585
0.0001,10,256,256,256,0.3,0.995,0.01,0.99,1049699.4955678394
0.0001,10,256,256,1024,0.1,0.95,0.0,0.95,1091253.9334695195
0.0001,10,256,256,1024,0.1,0.95,0.0,0.99,1081684.7635434903
0.0001,10,256,256,1024,0.1,0.95,0.01,0.95,1161548.0891982396
0.0001,10,256,256,1024,0.1,0.95,0.01,0.99,1078453.9452956691
0.0001,10,256,256,1024,0.1,0.995,0.0,0.95,1071282.0839381998
0.0001,10,256,256,1024,0.1,0.995,0.0,0.99,1046688.7516534098
0.0001,10,256,256,1024,0.1,0.995,0.01,0.95,1053357.865620612
0.0001,10,256,256,1024,0.1,0.995,0.01,0.99,1081957.1836873393
0.0001,10,256,256,1024,0.3,0.95,0.0,0.95,1073213.71070456
0.0001,10,256,256,1024,0.3,0.95,0.0,0.99,1108133.9139298708
0.0001,10,256,256,1024,0.3,0.95,0.01,0.95,1102846.348067541
0.0001,10,256,256,1024,0.3,0.95,0.01,0.99,1082200.1941326284
0.0001,10,256,256,1024,0.3,0.995,0.0,0.95,1132991.8112697606
0.0001,10,256,256,1024,0.3,0.995,0.0,0.99,1074675.7639979296
0.0001,10,256,256,1024,0.3,0.995,0.01,0.95,1020278.57962442
0.0001,10,256,256,1024,0.3,0.995,0.01,0.99,1100016.5218146795
0.0001,10,256,1024,256,0.1,0.95,0.0,0.95,1052192.0466761393
0.0001,10,256,1024,256,0.1,0.95,0.0,0.99,1015708.3526699602
0.0001,10,256,1024,256,0.1,0.95,0.01,0.95,1059967.230248569
0.0001,10,256,1024,256,0.1,0.95,0.01,0.99,1118370.4249230796
0.0001,10,256,1024,256,0.1,0.995,0.0,0.95,1071477.4316925302
0.0001,10,256,1024,256,0.1,0.995,0.0,0.99,1125669.04343045
0.0001,10,256,1024,256,0.1,0.995,0.01,0.95,1021378.9678755815
0.0001,10,256,1024,256,0.1,0.995,0.01,0.99,1102805.0728751402
0.0001,10,256,1024,256,0.3,0.95,0.0,0.95,1080325.7947587008
0.0001,10,256,1024,256,0.3,0.95,0.0,0.99,1095423.1042317008
0.0001,10,256,1024,256,0.3,0.95,0.01,0.95,1086472.3111813902
0.0001,10,256,1024,256,0.3,0.95,0.01,0.99,1082185.269714059
0.0001,10,256,1024,256,0.3,0.995,0.0,0.95,1078780.7964644902
0.0001,10,256,1024,256,0.3,0.995,0.0,0.99,1068175.0049246694
0.0001,10,256,1024,256,0.3,0.995,0.01,0.95,1015419.4809347305
0.0001,10,256,1024,256,0.3,0.995,0.01,0.99,1150943.08456484
0.0001,10,256,1024,1024,0.1,0.95,0.0,0.95,1066996.3429832202
0.0001,10,256,1024,1024,0.1,0.95,0.0,0.99,1036829.0712744102
0.0001,10,256,1024,1024,0.1,0.95,0.01,0.95,1121620.1400465611
0.0001,10,256,1024,1024,0.1,0.95,0.01,0.99,957843.2532056612
0.0001,10,256,1024,1024,0.1,0.995,0.0,0.95,1165681.4214637703
0.0001,10,256,1024,1024,0.1,0.995,0.0,0.99,1105489.8050870697
0.0001,10,256,1024,1024,0.1,0.995,0.01,0.95,1126340.3038960502
0.0001,10,256,1024,1024,0.1,0.995,0.01,0.99,1057894.1506878603
0.0001,10,256,1024,1024,0.3,0.95,0.0,0.95,1031763.4765478112
0.0001,10,256,1024,1024,0.3,0.95,0.0,0.99,1069421.5223016297
0.0001,10,256,1024,1024,0.3,0.95,0.01,0.95,1043474.8115335192
0.0001,10,256,1024,1024,0.3,0.95,0.01,0.99,1069334.4224789597
0.0001,10,256,1024,1024,0.3,0.995,0.0,0.95,1023680.8177814307
0.0001,10,256,1024,1024,0.3,0.995,0.0,0.99,1041354.9076757206
0.0001,10,256,1024,1024,0.3,0.995,0.01,0.95,1086284.7452716487
0.0001,10,256,1024,1024,0.3,0.995,0.01,0.99,1144712.4174741306
0.0001,30,64,256,256,0.1,0.95,0.0,0.95,1147246.3351189003
0.0001,30,64,256,256,0.1,0.95,0.0,0.99,1026869.0116120098
0.0001,30,64,256,256,0.1,0.95,0.01,0.95,1094283.0373336393
0.0001,30,64,256,256,0.1,0.95,0.01,0.99,1015508.9125891092
0.0001,30,64,256,256,0.1,0.995,0.0,0.95,1059414.8769805203
0.0001,30,64,256,256,0.1,0.995,0.0,0.99,1059792.31731301
0.0001,30,64,256,256,0.1,0.995,0.01,0.95,1026880.1520869599
0.0001,30,64,256,256,0.1,0.995,0.01,0.99,1058279.6865993908
0.0001,30,64,256,256,0.3,0.95,0.0,0.95,1113459.6540142496
0.0001,30,64,256,256,0.3,0.95,0.0,0.99,1038086.1188528199
0.0001,30,64,256,256,0.3,0.95,0.01,0.95,1070306.0763767594
0.0001,30,64,256,256,0.3,0.95,0.01,0.99,1165529.540174001
0.0001,30,64,256,256,0.3,0.995,0.0,0.95,1083554.1933000705
0.0001,30,64,256,256,0.3,0.995,0.0,0.99,1025265.5386240296
0.0001,30,64,256,256,0.3,0.995,0.01,0.95,997879.2204423698
0.0001,30,64,256,256,0.3,0.995,0.01,0.99,1194706.1692463611
0.0001,30,64,256,1024,0.1,0.95,0.0,0.95,1064763.7556751198
0.0001,30,64,256,1024,0.1,0.95,0.0,0.99,1074868.14115475
0.0001,30,64,256,1024,0.1,0.95,0.01,0.95,1052942.3098583403
0.0001,30,64,256,1024,0.1,0.95,0.01,0.99,1101688.7811375698
0.0001,30,64,256,1024,0.1,0.995,0.0,0.95,1052719.9518538602
0.0001,30,64,256,1024,0.1,0.995,0.0,0.99,1096309.3446383688
0.0001,30,64,256,1024,0.1,0.995,0.01,0.95,1123525.3372919883
0.0001,30,64,256,1024,0.1,0.995,0.01,0.99,936273.1069560698
0.0001,30,64,256,1024,0.3,0.95,0.0,0.95,1048044.1559101802
0.0001,30,64,256,1024,0.3,0.95,0.0,0.99,1054674.6790812998
