最好的一次組合是第443次 0.0005	30	64	1024	1024	0.3	0.95	0	0.99	1228795.066
alpha,n_epochs,batch_size,layer1_size,layer2_size,policy_clip,gamma,entropy,gae_lambda,final_reward
0.0005,10,256,256,1024,0.1,0.995,0.0,0.99,1123035.3186979205
0.0005,10,256,256,1024,0.1,0.995,0.01,0.95,1113384.6262886713
0.0005,10,256,256,1024,0.1,0.995,0.01,0.99,1149310.2351333287
0.0005,10,256,256,1024,0.3,0.95,0.0,0.95,1042943.3025428995
0.0005,10,256,256,1024,0.3,0.95,0.0,0.99,1085033.9949383698
0.0005,10,256,256,1024,0.3,0.95,0.01,0.95,1054450.0183375706
0.0005,10,256,256,1024,0.3,0.95,0.01,0.99,1099023.6088450495
0.0005,10,256,256,1024,0.3,0.995,0.0,0.95,1089372.152510369
0.0005,10,256,256,1024,0.3,0.995,0.0,0.99,1068982.6004243195
0.0005,10,256,256,1024,0.3,0.995,0.01,0.95,924342.9061428498
0.0005,10,256,256,1024,0.3,0.995,0.01,0.99,1133679.693710941
0.0005,10,256,1024,256,0.1,0.95,0.0,0.95,1076141.2583851605
0.0005,10,256,1024,256,0.1,0.95,0.0,0.99,1177233.3970778899
0.0005,10,256,1024,256,0.1,0.95,0.01,0.95,1158790.8026910292
0.0005,10,256,1024,256,0.1,0.95,0.01,0.99,1086775.9862472678
0.0005,10,256,1024,256,0.1,0.995,0.0,0.95,1063380.13678686
0.0005,10,256,1024,256,0.1,0.995,0.0,0.99,1027148.6282033902
0.0005,10,256,1024,256,0.1,0.995,0.01,0.95,1092215.8818158084
0.0005,10,256,1024,256,0.1,0.995,0.01,0.99,1024584.9962945402
0.0005,10,256,1024,256,0.3,0.95,0.0,0.95,1121656.2310225202
0.0005,10,256,1024,256,0.3,0.95,0.0,0.99,1042706.7762155996
0.0005,10,256,1024,256,0.3,0.95,0.01,0.95,988729.0839401407
0.0005,10,256,1024,256,0.3,0.95,0.01,0.99,950409.3342294309
0.0005,10,256,1024,256,0.3,0.995,0.0,0.95,1004601.37535075
0.0005,10,256,1024,256,0.3,0.995,0.0,0.99,1116019.5245681505
0.0005,10,256,1024,256,0.3,0.995,0.01,0.95,1033130.12250546
0.0005,10,256,1024,256,0.3,0.995,0.01,0.99,1054505.9726350796
0.0005,10,256,1024,1024,0.1,0.95,0.0,0.95,1008703.6065043495
0.0005,10,256,1024,1024,0.1,0.95,0.0,0.99,1027219.9219340393
0.0005,10,256,1024,1024,0.1,0.95,0.01,0.95,1153252.87392473
0.0005,10,256,1024,1024,0.1,0.95,0.01,0.99,959804.2435025591
0.0005,10,256,1024,1024,0.1,0.995,0.0,0.95,993936.1399565698
0.0005,10,256,1024,1024,0.1,0.995,0.0,0.99,1053879.34361272
0.0005,10,256,1024,1024,0.1,0.995,0.01,0.95,1025486.4905118092
0.0005,10,256,1024,1024,0.1,0.995,0.01,0.99,986889.8799495706
0.0005,10,256,1024,1024,0.3,0.95,0.0,0.95,1093545.2879999299
0.0005,10,256,1024,1024,0.3,0.95,0.0,0.99,1073104.4841539394
0.0005,10,256,1024,1024,0.3,0.95,0.01,0.95,1120326.3709965271
0.0005,10,256,1024,1024,0.3,0.95,0.01,0.99,990498.3308286001
0.0005,10,256,1024,1024,0.3,0.995,0.0,0.95,1131834.5309450296
0.0005,10,256,1024,1024,0.3,0.995,0.0,0.99,1019812.3129270199
0.0005,10,256,1024,1024,0.3,0.995,0.01,0.95,959712.0264106002
0.0005,10,256,1024,1024,0.3,0.995,0.01,0.99,1173632.5017166398
0.0005,30,64,256,256,0.1,0.95,0.0,0.95,1128892.3637312097
0.0005,30,64,256,256,0.1,0.95,0.0,0.99,1039976.5261268099
0.0005,30,64,256,256,0.1,0.95,0.01,0.95,1104012.6401498602
0.0005,30,64,256,256,0.1,0.95,0.01,0.99,1130215.482796091
0.0005,30,64,256,256,0.1,0.995,0.0,0.95,1089354.9527295907
0.0005,30,64,256,256,0.1,0.995,0.0,0.99,1007115.4284189803
0.0005,30,64,256,256,0.1,0.995,0.01,0.95,1023868.2647955682
0.0005,30,64,256,256,0.1,0.995,0.01,0.99,1078540.82191176
0.0005,30,64,256,256,0.3,0.95,0.0,0.95,1053123.6626165602
0.0005,30,64,256,256,0.3,0.95,0.0,0.99,1070220.8377982702
0.0005,30,64,256,256,0.3,0.95,0.01,0.95,1128604.0897415797
0.0005,30,64,256,256,0.3,0.95,0.01,0.99,1037781.8261728294
0.0005,30,64,256,256,0.3,0.995,0.0,0.95,1054660.1876623796
0.0005,30,64,256,256,0.3,0.995,0.0,0.99,1101608.3007731407
0.0005,30,64,256,256,0.3,0.995,0.01,0.95,1055179.3821919307
0.0005,30,64,256,256,0.3,0.995,0.01,0.99,1018170.4280343294
0.0005,30,64,256,1024,0.1,0.95,0.0,0.95,1132430.2808145396
0.0005,30,64,256,1024,0.1,0.95,0.0,0.99,1118011.8225727396
0.0005,30,64,256,1024,0.1,0.95,0.01,0.95,1146996.0289652494
0.0005,30,64,256,1024,0.1,0.95,0.01,0.99,1089314.2502759497
0.0005,30,64,256,1024,0.1,0.995,0.0,0.95,1081342.7701493595
0.0005,30,64,256,1024,0.1,0.995,0.0,0.99,1072450.8657576893
0.0005,30,64,256,1024,0.1,0.995,0.01,0.95,1040255.8089782103
0.0005,30,64,256,1024,0.1,0.995,0.01,0.99,1098273.3915031103
0.0005,30,64,256,1024,0.3,0.95,0.0,0.95,1036168.5917781
0.0005,30,64,256,1024,0.3,0.95,0.0,0.99,1116048.83915955
0.0005,30,64,256,1024,0.3,0.95,0.01,0.95,1089077.5568459998
0.0005,30,64,256,1024,0.3,0.95,0.01,0.99,974058.5497671904
0.0005,30,64,256,1024,0.3,0.995,0.0,0.95,1000242.518358971
0.0005,30,64,256,1024,0.3,0.995,0.0,0.99,1093687.2316909798
0.0005,30,64,256,1024,0.3,0.995,0.01,0.95,1073571.4505185005
0.0005,30,64,256,1024,0.3,0.995,0.01,0.99,1045546.5922772697
0.0005,30,64,1024,256,0.1,0.95,0.0,0.95,1086295.1600671103
0.0005,30,64,1024,256,0.1,0.95,0.0,0.99,1118268.27036848
0.0005,30,64,1024,256,0.1,0.95,0.01,0.95,1175776.6747703103
0.0005,30,64,1024,256,0.1,0.95,0.01,0.99,1034394.8533758305
0.0005,30,64,1024,256,0.1,0.995,0.0,0.95,1072299.6134479402
0.0005,30,64,1024,256,0.1,0.995,0.0,0.99,1032492.1054398203
0.0005,30,64,1024,256,0.1,0.995,0.01,0.95,1070064.6312004705
0.0005,30,64,1024,256,0.1,0.995,0.01,0.99,1151726.60246777
0.0005,30,64,1024,256,0.3,0.95,0.0,0.95,1077234.9595159104
0.0005,30,64,1024,256,0.3,0.95,0.0,0.99,998460.4370797686
0.0005,30,64,1024,256,0.3,0.95,0.01,0.95,946654.0591362589
0.0005,30,64,1024,256,0.3,0.95,0.01,0.99,1063799.8275183304
0.0005,30,64,1024,256,0.3,0.995,0.0,0.95,1057647.1512579701
0.0005,30,64,1024,256,0.3,0.995,0.0,0.99,1138805.4131000706
0.0005,30,64,1024,256,0.3,0.995,0.01,0.95,1057034.0712796403
0.0005,30,64,1024,256,0.3,0.995,0.01,0.99,985059.085063419
0.0005,30,64,1024,1024,0.1,0.95,0.0,0.95,1089432.9350943794
0.0005,30,64,1024,1024,0.1,0.95,0.0,0.99,1114669.2153115203
0.0005,30,64,1024,1024,0.1,0.95,0.01,0.95,965113.6005512698
0.0005,30,64,1024,1024,0.1,0.95,0.01,0.99,1045573.1336941384
0.0005,30,64,1024,1024,0.1,0.995,0.0,0.95,1037898.9317074188
0.0005,30,64,1024,1024,0.1,0.995,0.0,0.99,1062137.3927410587
0.0005,30,64,1024,1024,0.1,0.995,0.01,0.95,1141342.478789311
0.0005,30,64,1024,1024,0.1,0.995,0.01,0.99,1065212.6763883296
0.0005,30,64,1024,1024,0.3,0.95,0.0,0.95,1035692.1947693195
0.0005,30,64,1024,1024,0.3,0.95,0.0,0.99,1228795.06574135
0.0005,30,64,1024,1024,0.3,0.95,0.01,0.95,1129149.631031081
0.0005,30,64,1024,1024,0.3,0.95,0.01,0.99,927976.4473735408
0.0005,30,64,1024,1024,0.3,0.995,0.0,0.95,1094280.7101825795
0.0005,30,64,1024,1024,0.3,0.995,0.0,0.99,1017911.8021683601
0.0005,30,64,1024,1024,0.3,0.995,0.01,0.95,1027324.8560125495
0.0005,30,64,1024,1024,0.3,0.995,0.01,0.99,1035545.3089006204
0.0005,30,256,256,256,0.1,0.95,0.0,0.95,1104548.9218460699
0.0005,30,256,256,256,0.1,0.95,0.0,0.99,1051357.7270342696
0.0005,30,256,256,256,0.1,0.95,0.01,0.95,1032916.0552026596
0.0005,30,256,256,256,0.1,0.95,0.01,0.99,1004275.3803389906
0.0005,30,256,256,256,0.1,0.995,0.0,0.95,1041989.0112195404
0.0005,30,256,256,256,0.1,0.995,0.0,0.99,1112764.5427376395
0.0005,30,256,256,256,0.1,0.995,0.01,0.95,1150245.4821842592
0.0005,30,256,256,256,0.1,0.995,0.01,0.99,981616.21696712
0.0005,30,256,256,256,0.3,0.95,0.0,0.95,1054064.05642793
0.0005,30,256,256,256,0.3,0.95,0.0,0.99,1134647.5741522203
0.0005,30,256,256,256,0.3,0.95,0.01,0.95,1130654.5714052974
0.0005,30,256,256,256,0.3,0.95,0.01,0.99,1108846.3777180887
0.0005,30,256,256,256,0.3,0.995,0.0,0.95,1098790.2564394702
0.0005,30,256,256,256,0.3,0.995,0.0,0.99,1033765.8715120703
0.0005,30,256,256,256,0.3,0.995,0.01,0.95,1075259.2395331785
0.0005,30,256,256,256,0.3,0.995,0.01,0.99,1195649.3653052293
0.0005,30,256,256,1024,0.1,0.95,0.0,0.95,1040937.4493151408
0.0005,30,256,256,1024,0.1,0.95,0.0,0.99,1041704.1654307402
0.0005,30,256,256,1024,0.1,0.95,0.01,0.95,1152448.9627160507
0.0005,30,256,256,1024,0.1,0.95,0.01,0.99,1143604.9571268
0.0005,30,256,256,1024,0.1,0.995,0.0,0.95,1070448.5595116098
0.0005,30,256,256,1024,0.1,0.995,0.0,0.99,1046375.1572596404
0.0005,30,256,256,1024,0.1,0.995,0.01,0.95,1204111.0906839396
0.0005,30,256,256,1024,0.1,0.995,0.01,0.99,1065905.2934001095
0.0005,30,256,256,1024,0.3,0.95,0.0,0.95,1095307.1367542404
0.0005,30,256,256,1024,0.3,0.95,0.0,0.99,1054020.3829351
0.0005,30,256,256,1024,0.3,0.95,0.01,0.95,1016179.5969456277
0.0005,30,256,256,1024,0.3,0.95,0.01,0.99,1169870.8238691816
0.0005,30,256,256,1024,0.3,0.995,0.0,0.95,1025269.7688227904
0.0005,30,256,256,1024,0.3,0.995,0.0,0.99,1056685.6036909593
0.0005,30,256,256,1024,0.3,0.995,0.01,0.95,1070468.3670132412
0.0005,30,256,256,1024,0.3,0.995,0.01,0.99,1201199.3345117406
0.0005,30,256,1024,256,0.1,0.95,0.0,0.95,1066716.402688699
0.0005,30,256,1024,256,0.1,0.95,0.0,0.99,1082135.0330047905
0.0005,30,256,1024,256,0.1,0.95,0.01,0.95,1006189.9610981195
0.0005,30,256,1024,256,0.1,0.95,0.01,0.99,1163123.9841423794
0.0005,30,256,1024,256,0.1,0.995,0.0,0.95,1158351.0100617104
0.0005,30,256,1024,256,0.1,0.995,0.0,0.99,1065251.2083965696
0.0005,30,256,1024,256,0.1,0.995,0.01,0.95,1014290.5441550204
0.0005,30,256,1024,256,0.1,0.995,0.01,0.99,1115405.4689102394
0.0005,30,256,1024,256,0.3,0.95,0.0,0.95,1013368.9328408603
0.0005,30,256,1024,256,0.3,0.95,0.0,0.99,1106922.9218716207
0.0005,30,256,1024,256,0.3,0.95,0.01,0.95,1060572.4221992414
0.0005,30,256,1024,256,0.3,0.95,0.01,0.99,1043082.6885919209
0.0005,30,256,1024,256,0.3,0.995,0.0,0.95,1093536.9064757803
0.0005,30,256,1024,256,0.3,0.995,0.0,0.99,1030208.3331183502
0.0005,30,256,1024,256,0.3,0.995,0.01,0.95,1203489.135801741
0.0005,30,256,1024,256,0.3,0.995,0.01,0.99,1084698.8752160114
0.0005,30,256,1024,1024,0.1,0.95,0.0,0.95,1020874.3724560998
0.0005,30,256,1024,1024,0.1,0.95,0.0,0.99,993657.1700497397
0.0005,30,256,1024,1024,0.1,0.95,0.01,0.95,1199088.7528767393
0.0005,30,256,1024,1024,0.1,0.95,0.01,0.99,1072685.132241681
0.0005,30,256,1024,1024,0.1,0.995,0.0,0.95,1066917.6867434396
0.0005,30,256,1024,1024,0.1,0.995,0.0,0.99,1047396.8062802402
0.0005,30,256,1024,1024,0.1,0.995,0.01,0.95,1016289.4245649679
0.0005,30,256,1024,1024,0.1,0.995,0.01,0.99,1091308.5750346708
0.0005,30,256,1024,1024,0.3,0.95,0.0,0.95,1059246.5353062807
0.0005,30,256,1024,1024,0.3,0.95,0.0,0.99,1034305.4883493198
0.0005,30,256,1024,1024,0.3,0.95,0.01,0.95,1178524.5188306
0.0005,30,256,1024,1024,0.3,0.95,0.01,0.99,947459.5083489788
0.0005,30,256,1024,1024,0.3,0.995,0.0,0.95,1056824.84155754
0.0005,30,256,1024,1024,0.3,0.995,0.0,0.99,1074898.29769143
0.0005,30,256,1024,1024,0.3,0.995,0.01,0.95,1020407.5538048005
0.0005,30,256,1024,1024,0.3,0.995,0.01,0.99,1120513.0661633585
